Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Grand Theft Auto V,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
Call of Duty: Black Ops II,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03
Call of Duty: Modern Warfare 3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
Call of Duty: Black Ops,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
Gran Turismo 5,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77
Call of Duty: Modern Warfare 2,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69
Grand Theft Auto IV,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
Call of Duty: Ghosts,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59
FIFA Soccer 13,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24
Battlefield 3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23
FIFA 14,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9
Uncharted 3: Drake's Deception,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83
Uncharted 2: Among Thieves,2009,Action,Sony Computer Entertainment,3.27,2.25,,1,6.73
Call of Duty 4: Modern Warfare,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72
FIFA 12,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69
Red Dead Redemption,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
Assassin's Creed III,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5
Metal Gear Solid 4: Guns of the Patriots,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03
The Last of Us,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
LittleBigPlanet,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
Assassin's Creed II,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
Call of Duty: World at War,2008,Shooter,Activision,2.72,1.87,0,0.84,5.43
Minecraft,2014,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42
Final Fantasy XIII,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
Resident Evil 5,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11
FIFA Soccer 11,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08
Uncharted: Drake's Fortune,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94
God of War III,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84
Assassin's Creed,2007,Adventure,Ubisoft,1.91,2,0.09,0.83,4.83
FIFA 15,2014,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82
Call of Duty: Advanced Warfare,2014,Shooter,Activision,1.54,1.94,0.19,0.77,4.45
Resistance: Fall of Man,2006,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
Batman: Arkham Asylum,2009,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
Assassin's Creed: Revelations,2011,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24
Gran Turismo 5 Prologue,2007,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2
Street Fighter IV,2009,Fighting,Capcom,2.02,1.06,0.58,0.53,4.19
Fallout 3,2008,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01
Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1.33,1.71,0.13,0.73,3.89
MotorStorm,2006,Racing,Sony Computer Entertainment,1.53,1.61,0.06,0.67,3.88
Sports Champions,2010,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87
Battlefield 4,2013,Shooter,Electronic Arts,1.3,1.51,0.27,0.61,3.69
Gran Turismo 6,2013,Racing,Sony Computer Entertainment,0.71,1.8,0.4,0.74,3.64
FIFA Soccer 10,2009,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63
Far Cry 3,2012,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45
LittleBigPlanet 2,2011,Platform,Sony Computer Entertainment,1.82,1.07,0.06,0.47,3.42
L.A. Noire,2011,Adventure,Take-Two Interactive,1.27,1.33,0.12,0.51,3.23
Fallout: New Vegas,2010,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17
Resident Evil 6,2012,Shooter,Capcom,0.88,0.97,0.88,0.42,3.15
The Elder Scrolls IV: Oblivion,2007,Role-Playing,Ubisoft,1.69,0.87,0.14,0.42,3.12
Heavy Rain,2010,Adventure,Sony Computer Entertainment,1.29,1.27,0.06,0.5,3.12
Killzone 2,2009,Shooter,Sony Computer Entertainment,1.4,1.07,0.08,0.47,3.02
Battlefield: Bad Company 2,2010,Shooter,Electronic Arts,1.33,1.12,0.08,0.45,2.97
inFAMOUS,2009,Action,Sony Computer Entertainment,1.76,0.69,0.12,0.37,2.94
Need for Speed: Most Wanted,2012,Racing,Electronic Arts,0.71,1.51,0.06,0.61,2.89
