Name,Year,Genre,Publisher,North America,Europe,Japan,Other,Global
Call of Duty: Black Ops 3,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24
Grand Theft Auto V,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
FIFA 16,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49
Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67
Call of Duty: Advanced Warfare,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
Fallout 4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96
FIFA 15,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
Destiny,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
FIFA 17,2016,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77
The Last of Us,2014,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
Uncharted: The Nathan Drake Collection,2015,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
Uncharted 4: A Thief's End,2016,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2
Watch Dogs,2014,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14
Far Cry 4,2014,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03
Minecraft,2014,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
Assassin's Creed: Unity,2014,Action,Ubisoft,1.18,1.96,0.08,0.7,3.92
NBA 2K16,2015,Sports,Take-Two Interactive,2.48,0.65,0.03,0.69,3.85
Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79
The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,0.96,2,0.21,0.56,3.73
Call of Duty: Ghosts,2013,Shooter,Activision,1.78,1.42,0.05,0.38,3.63
Tom Clancy's The Division,2016,Shooter,Ubisoft,1.28,1.61,0.15,0.57,3.61
Battlefield 4,2013,Shooter,Electronic Arts,1.34,1.54,0.17,0.38,3.43
Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38
Assassin's Creed Syndicate,2015,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
Madden NFL 16,2015,Sports,Electronic Arts,2.33,0.3,0,0.59,3.22
Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.41,0.05,0.53,2.99
FIFA 14,2013,Sports,Electronic Arts,0.61,1.85,0.11,0.33,2.9
inFAMOUS: Second Son,2014,Action,Sony Computer Entertainment,1.27,0.97,0.07,0.47,2.78
Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1.07,1.31,0.06,0.31,2.74
Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,1.47,0.76,0,0.47,2.7
Killzone: Shadow Fall,2013,Shooter,Sony Computer Entertainment,0.89,1.33,0.07,0.28,2.58
Need for Speed (2015),2015,Racing,Electronic Arts,0.49,1.49,0.05,0.36,2.39
Bloodborne,2015,Action,Sony Computer Entertainment,1,0.76,0.26,0.36,2.38
NBA 2K15,2014,Sports,Take-Two Interactive,1.46,0.54,0.01,0.37,2.38
Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,0.54,1.16,0.13,0.32,2.15
Far Cry: Primal,2016,Action,Ubisoft,0.59,1.16,0.06,0.33,2.13
Battlefield: Hardline,2015,Shooter,Electronic Arts,0.7,0.93,0.14,0.32,2.09
Madden NFL 15,2014,Sports,Electronic Arts,1.53,0.25,0,0.25,2.03
DriveClub,2014,Racing,Sony Computer Entertainment,0.35,1.31,0.02,0.33,2
Dragon Age: Inquisition,2014,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97
Destiny: The Taken King,2015,Shooter,Activision,0.77,0.78,0.04,0.31,1.91
Need for Speed Rivals,2013,Racing,Electronic Arts,0.73,0.91,0.03,0.22,1.89
LittleBigPlanet 3,2014,Platform,Sony Computer Entertainment,0.64,0.92,0.01,0.29,1.86
Just Cause 3,2015,Action,Square Enix,0.46,1.02,0.07,0.28,1.83
The Evil Within,2014,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81
Diablo III,2014,Role-Playing,Activision,0.49,0.88,0.06,0.3,1.74
Overwatch,2016,Shooter,Activision,0.64,0.68,0.14,0.26,1.73
The Order: 1886,2015,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.72
The Elder Scrolls Online,2015,Role-Playing,Bethesda Softworks,0.66,0.78,0,0.28,1.72
The Crew,2014,Racing,Ubisoft,0.34,1.08,0.03,0.26,1.7
Knack,2013,Platform,Sony Computer Entertainment Europe,0.43,0.67,0.42,0.15,1.67
Dying Light,2015,Action,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.66
Until Dawn,2015,Adventure,Sony Computer Entertainment Europe,0.44,0.89,0.05,0.25,1.64
No Man's Sky,2016,Action,Hello Games,0.58,0.74,0.02,0.26,1.6
Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.29,1.58
Dark Souls III,2016,Role-Playing,Namco Bandai Games,0.58,0.44,0.33,0.21,1.56
LEGO Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.59,0.75,0.01,0.21,1.56
Tomb Raider (2013),2014,Action,Square Enix,0.47,0.64,0.06,0.25,1.41
Doom (2016),2016,Shooter,Bethesda Softworks,0.49,0.66,0.02,0.22,1.39
NBA 2K14,2013,Sports,Take-Two Interactive,0.89,0.31,0.01,0.12,1.33
Metal Gear Solid V: Ground Zeroes,2014,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28
Madden NFL 17,2016,Sports,Electronic Arts,0.92,0.08,0,0.23,1.23
WWE 2K16,2015,Sports,Take-Two Interactive,0.41,0.6,0,0.19,1.2
NBA 2K17,2016,Sports,Take-Two Interactive,0.83,0.14,0,0.22,1.19
Ratchet & Clank (2016),2016,Platform,Sony Computer Entertainment,0.32,0.64,0.04,0.18,1.17
WWE 2K15,2014,Sports,Take-Two Interactive,0.38,0.56,0,0.19,1.13
Alien: Isolation,2014,Shooter,Sega,0.34,0.56,0.04,0.19,1.13
Mad Max (2015),2015,Action,Warner Bros. Interactive Entertainment,0.32,0.58,0.04,0.17,1.11
Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,Namco Bandai Games,0.39,0.41,0.1,0.16,1.06
Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games,0.3,0.48,0.12,0.15,1.05
Project CARS,2015,Racing,Slightly Mad Studios,0.17,0.69,0.02,0.15,1.04
EA Sports UFC,2014,Sports,Electronic Arts,0.46,0.4,0.01,0.17,1.04
Rayman Legends,2014,Platform,Ubisoft,0.21,0.61,0,0.18,1.01
Final Fantasy Type-0,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.97
Evolve,2015,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.95
Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.39,0,0.15,0.92
MLB 15: The Show,2015,Sports,Sony Computer Entertainment,0.67,0.08,0,0.17,0.92
LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.01,0.14,0.89
EA Sports UFC 2,2016,Sports,Electronic Arts,0.28,0.47,0,0.14,0.89
Injustice: Gods Among Us,2013,Fighting,Warner Bros. Interactive Entertainment,0.46,0.29,0,0.12,0.87
Thief (2014),2014,Action,Square Enix,0.28,0.37,0.03,0.16,0.84
MLB 16: The Show,2016,Action,Sony Computer Entertainment,0.68,0,0,0.16,0.84
Borderlands: The Handsome Collection,2015,Shooter,Take-Two Interactive,0.36,0.32,0.03,0.14,0.84
Street Fighter V,2016,Fighting,Capcom,0.35,0.26,0.08,0.13,0.82
Madden NFL 25,2013,Sports,Electronic Arts,0.62,0.13,0,0.07,0.82
Guitar Hero Live,2015,Misc,Activision,0.32,0.35,0,0.13,0.81
Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.78
Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,0.09,0.43,0.11,0.13,0.76
Final Fantasy XIV: A Realm Reborn,2014,Role-Playing,Square Enix,0.32,0.22,0.08,0.1,0.72
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015,Action,Square Enix,0.16,0.13,0.37,0.06,0.71
Final Fantasy X/X-2 HD Remaster,2015,Role-Playing,Square Enix,0.29,0.25,0.06,0.11,0.71
Disney Infinity 3.0,2015,Action,Disney Interactive Studios,0.21,0.36,0,0.11,0.68
Metro: Last Light,2014,Action,Deep Silver,0.22,0.3,0.04,0.12,0.68
Sniper Elite 3,2014,Shooter,505 Games,0.22,0.33,0,0.13,0.68
The LEGO Movie Videogame,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67
Minecraft: Story Mode,2015,Adventure,Mojang,0.23,0.33,0,0.11,0.67
F1 2015,2015,Racing,Codemasters,0.09,0.44,0.03,0.09,0.66
MLB 14: The Show,2014,Sports,Sony Computer Entertainment America,0.58,0,0,0.07,0.65
LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,0.25,0.29,0,0.1,0.64
LEGO Dimensions,2015,Action,Warner Bros. Interactive Entertainment,0.22,0.32,0,0.1,0.64
God of War III,2015,Action,Sony Computer Entertainment,0.23,0.29,0.01,0.1,0.63
Rocksmith 2014,2014,Misc,Ubisoft,0.34,0.17,0,0.11,0.62
NHL 16,2015,Sports,Electronic Arts,0.35,0.15,0,0.11,0.61
Plants vs. Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.21,0.29,0.01,0.11,0.61
LEGO The Hobbit,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.37,0,0.1,0.6
Disney Infinity 2.0: Marvel Super Heroes,2014,Action,Disney Interactive Studios,0.26,0.24,0,0.1,0.6
Dark Souls II,2015,Role-Playing,Namco Bandai Games,0.2,0.22,0.08,0.08,0.59
NHL 15,2014,Sports,Electronic Arts,0.3,0.18,0,0.1,0.58
The Amazing Spider-Man 2 (2014),2014,Action,Activision,0.2,0.25,0.02,0.09,0.55
Resident Evil: Revelations 2,2015,Action,Capcom,0.13,0.24,0.1,0.07,0.54
Lego Star Wars: The Force Awakens,2016,Action,Warner Bros. Interactive Entertainment,0.14,0.32,0,0.08,0.54
Lords of the Fallen,2014,Role-Playing,Square Enix,0.17,0.23,0.02,0.09,0.51
Rory McIlroy PGA Tour,2015,Action,Electronic Arts,0.18,0.24,0,0.08,0.51
The Walking Dead: Season One,2014,Adventure,Telltale Games,0.12,0.25,0.01,0.08,0.45
Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,0.17,0.21,0,0.07,0.45
One Piece: Pirate Warriors 3,2015,Action,Namco Bandai Games,0.08,0.22,0.1,0.05,0.45
Trials Fusion,2014,Racing,Ubisoft,0.13,0.21,0.01,0.08,0.43
Sleeping Dogs,2014,Action,Square Enix,0.16,0.2,0,0.07,0.43
Skylanders: Trap Team,2014,Action,Activision,0.18,0.17,0,0.07,0.43
Wolfenstein: The Old Blood,2015,Action,Bethesda Softworks,0.09,0.25,0.02,0.06,0.42
Just Dance 2014,2013,Misc,Ubisoft,0.18,0.16,0,0.05,0.39
Saints Row IV,2015,Action,Deep Silver,0.13,0.17,0.03,0.06,0.38
Tales of Zestiria,2015,Role-Playing,Namco Bandai Games,0.16,0.15,0.02,0.06,0.38
Just Dance 2015,2014,Misc,Ubisoft,0.19,0.13,0,0.06,0.38
Life is Strange,2016,Adventure,Square Enix,0.14,0.15,0.03,0.06,0.37
Dishonored,2015,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37
