Name,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Gran Turismo,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
Final Fantasy VII,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
Gran Turismo 2,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49
Final Fantasy VIII,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
Tekken 3,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
Crash Bandicoot 3: Warped,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
Crash Bandicoot,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
Driver,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
Metal Gear Solid,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
Resident Evil 2,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
Tekken 2,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
Final Fantasy IX,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
Tomb Raider II,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
Resident Evil,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
Tony Hawk's Pro Skater,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02
Warzone 2100,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01
Spyro the Dragon,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5
Crash Team Racing,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79
Driver 2,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73
Tony Hawk's Pro Skater 2,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
Tomb Raider,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
Dragon Quest VII: Warriors of Eden,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
Frogger,1997,Action,Hasbro Interactive,3.79,0.27,0,0.11,4.16
Namco Museum Vol.3,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
Namco Museum Vol.1,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84
Resident Evil Director's Cut,1996,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77
Harry Potter and the Sorcerer's Stone,2001,Action,Electronic Arts,1.37,2,0.14,0.22,3.73
Resident Evil 3: Nemesis,1999,Action,Eidos Interactive,1.3,0.77,1.54,0.11,3.72
Spyro: Year of the Dragon,2000,Platform,Sony Computer Entertainment,1.93,1.58,0,0.19,3.71
WWF SmackDown!,2000,Fighting,THQ,2.01,1.35,0.06,0.16,3.58
Croc: Legend of the Gobbos,1997,Platform,Fox Interactive,1.57,1.79,0,0.2,3.56
Tomb Raider III: Adventures of Lara Croft,1997,Action,Eidos Interactive,1.66,1.58,0.12,0.18,3.54
Rugrats in Paris: The Movie,2000,Action,THQ,1.96,1.33,0,0.23,3.52
Spyro 2: Ripto's Rage!,1999,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.52
Grand Theft Auto 2,1998,Action,Take-Two Interactive,1.13,2.07,0,0.22,3.42
Crash Bash,2000,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39
WWF War Zone,1998,Fighting,Acclaim Entertainment,2.47,0.76,0,0.13,3.36
Rugrats: Search For Reptar,1998,Adventure,THQ,1.63,1.53,0,0.18,3.34
Tekken,1995,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24
007: Tomorrow Never Dies,1999,Shooter,Electronic Arts,1.72,1.33,0,0.16,3.21
WWF SmackDown! 2: Know Your Role,2000,Fighting,THQ,1.76,1.21,0.07,0.16,3.2
Spider-Man,2000,Action,Activision,1.7,1.25,0.02,0.16,3.13
Need for Speed III: Hot Pursuit,1998,Racing,Electronic Arts,2.14,0.86,0,0.13,3.12
Rayman,1995,Platform,Ubisoft,1.54,1.33,0,0.16,3.03
Syphon Filter,1999,Shooter,Sony Computer Entertainment,2.03,0.72,0.02,0.11,2.88
Colin McRae Rally,1998,Racing,Codemasters,0.09,2.43,0.12,0.22,2.87
Hot Shots Golf,1997,Sports,Sony Computer Entertainment,0.29,0.2,2.13,0.18,2.79
A Bug's Life,1998,Platform,Sony Computer Entertainment,1.96,0.72,0,0.11,2.79
Mortal Kombat Trilogy,1996,Fighting,GT Interactive,1.98,0.7,0,0.11,2.79
Medal of Honor,1998,Shooter,Electronic Arts,1.44,1.09,0,0.14,2.67
Tomb Raider: The Last Revelation,1998,Action,Eidos Interactive,1.15,1.14,0.06,0.13,2.48
Final Fantasy Tactics,1997,Role-Playing,SquareSoft,0.93,0.12,1.34,0.06,2.45
Twisted Metal 2,1996,Racing,Sony Computer Entertainment,2.12,0.25,0,0.07,2.44
Dino Crisis,1998,Action,Capcom,0.81,0.76,0.7,0.14,2.41
Tetris Plus,1996,Puzzle,JVC,2.1,0.24,0,0.07,2.4
Grand Theft Auto,1997,Action,Take-Two Interactive,0.79,1.35,0.04,0.14,2.32
Need For Speed: High Stakes,1999,Racing,Electronic Arts,1.58,0.64,0,0.09,2.31
Cool Boarders 3,1998,Sports,989 Studios,1.65,0.46,0.1,0.1,2.31
TOCA Touring Car Championship,1997,Racing,Codemasters,0.07,2,0.02,0.18,2.28
Cool Boarders 2,1997,Sports,UEP Systems,1.52,0.46,0.2,0.08,2.25
Syphon Filter 2,2000,Shooter,Sony Computer Entertainment,1.5,0.55,0.02,0.08,2.15
Parasite Eve,1998,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1
Derby Stallion,1997,Sports,ASCII Entertainment,0,0,1.96,0.14,2.09
Spec Ops: Airborne Commando,2002,Shooter,Take-Two Interactive,1.54,0.46,0,0.08,2.07
R4: Ridge Racer Type 4,1998,Racing,Namco Bandai Games,0.68,0.46,0.79,0.13,2.06
Tenchu: Stealth Assassins,1997,Action,Activision,0.95,0.64,0.27,0.13,1.99
Harry Potter and the Chamber of Secrets,2002,Action,Electronic Arts,0.75,1.09,0.02,0.12,1.98
Scooby Doo and the Cyber Chase,2001,Adventure,THQ,0.59,1.23,0,0.13,1.94
Jet Moto 2,1997,Racing,Sony Computer Entertainment,1.41,0.42,0.03,0.07,1.94
PaRappa The Rapper,1996,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92
Yu-Gi-Oh! Forbidden Memories,1999,Role-Playing,Konami Digital Entertainment,1.37,0.44,0,0.08,1.88
Hot Shots Golf 2,1999,Sports,Sony Computer Entertainment,0.25,0.12,1.48,0.03,1.88
WCW Nitro,1998,Fighting,THQ,1.42,0.36,0.03,0.07,1.88
FIFA 2000,1998,Sports,Electronic Arts,0.22,1.47,0.04,0.14,1.87
The Legend of Dragoon,1999,Role-Playing,Sony Computer Entertainment,0.94,0.44,0.39,0.1,1.86
Chrono Cross,1999,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86
Jet Moto,1996,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83
Air Combat,1995,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83
NFL GameDay 2000,1999,Sports,989 Studios,1,0.68,0,0.12,1.8
SpongeBob SquarePants: SuperSponge,2001,Action,THQ,1.12,0.58,0,0.08,1.78
WWF Attitude,1998,Fighting,Acclaim Entertainment,1.27,0.42,0,0.07,1.76
Madden NFL 2000,1998,Sports,Electronic Arts,1.68,0.04,0,0.04,1.75
Star Wars Episode I: The Phantom Menace,1999,Adventure,LucasArts,0.72,0.89,0.04,0.1,1.74
Madden NFL 99,1998,Sports,Electronic Arts,1.66,0.04,0,0.04,1.74
Twisted Metal III,1998,Action,989 Studios,1.48,0.2,0,0.05,1.73
Toy Story 2: Buzz Lightyear to the Rescue!,1998,Platform,Activision,0.99,0.64,0,0.08,1.71
Jampack Winter '99,1999,Misc,Sony Computer Entertainment,0.94,0.64,0,0.11,1.69
WCW/NWO Thunder,1998,Fighting,THQ,1.1,0.48,0.04,0.07,1.69
NFL GameDay 98,1997,Sports,Sony Computer Entertainment,1.58,0.06,0,0.04,1.68
Time Crisis,1997,Shooter,Namco Bandai Games,0.38,0.87,0.33,0.1,1.68
Madden NFL 2001,2000,Sports,Electronic Arts,1.58,0.05,0,0.04,1.67
Tony Hawk's Pro Skater 3,2001,Sports,Activision,1.09,0.49,0.02,0.07,1.67
Tom Clancy's Rainbow Six,1999,Shooter,Red Storm Entertainment,0.93,0.63,0,0.08,1.64
Ape Escape,1999,Platform,Sony Computer Entertainment,0.71,0.48,0.32,0.11,1.63
Sled Storm,1998,Racing,Electronic Arts,0.9,0.61,0,0.11,1.62
Silent Hill,1999,Action,Konami Digital Entertainment,0.71,0.48,0.3,0.1,1.6
Soul Edge,1996,Fighting,Sony Computer Entertainment,0.61,0.41,0.46,0.1,1.59
NASCAR 2000,1999,Racing,Electronic Arts,0.88,0.6,0,0.1,1.59
Jampack Summer 2K,2000,Misc,Sony Computer Entertainment,0.88,0.6,0,0.1,1.58
Twisted Metal,1995,Action,Sony Computer Entertainment,1.32,0.19,0,0.05,1.56
Spider-Man 2: Enter: Electro,2001,Action,Activision,0.57,0.87,0.02,0.09,1.55
Die Hard Trilogy,1996,Shooter,Fox Interactive,0.85,0.58,0,0.1,1.54
NFL GameDay 99,1998,Sports,989 Studios,1.44,0.05,0,0.04,1.53
Tiger Woods 99 PGA Tour Golf,1997,Sports,Electronic Arts,0.85,0.58,0,0.1,1.53
Knockout Kings,1997,Fighting,Electronic Arts,1.07,0.39,0,0.06,1.52
NASCAR 98,1996,Racing,Electronic Arts,1.43,0.05,0,0.04,1.52
NASCAR 99,1998,Racing,Electronic Arts,1.45,0.04,0,0.04,1.52
NBA Live 2000,1998,Sports,Electronic Arts,1.43,0.05,0,0.03,1.52
Simpsons Wrestling,2001,Fighting,Electronic Arts,0.23,1.16,0,0.11,1.51
NBA Live 98,1997,Sports,Electronic Arts,1.41,0.06,0,0.04,1.51
Monopoly,1997,Misc,Hasbro Interactive,1.18,0.27,0,0.05,1.51
NFL Blitz,1998,Sports,Midway Games,1.41,0.05,0,0.04,1.5
Pac-Man World,1998,Action,Namco Bandai Games,1.21,0.14,0.1,0.04,1.5
Xenogears,1998,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46
Triple Play 99,N/A,Sports,N/A,0.81,0.55,0,0.1,1.46
Mortal Kombat 4,1998,Fighting,GT Interactive,0.81,0.55,0,0.1,1.46
WCW vs the World,1998,Fighting,THQ,1.17,0.2,0.04,0.05,1.46
Frogger 2: Swampy's Revenge,1999,Action,Hasbro Interactive,0.8,0.54,0,0.09,1.43
Triple Play 2000,1999,Sports,Electronic Arts,0.79,0.54,0,0.09,1.43
Knockout Kings 2000,1999,Fighting,Electronic Arts,1.02,0.34,0,0.05,1.41
2Xtreme,1996,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05,1.4
Madden NFL 2002,2001,Sports,Electronic Arts,0.78,0.53,0,0.09,1.39
Duke Nukem: Time to Kill,1998,Shooter,Take-Two Interactive,0.77,0.54,0,0.07,1.38
A Collection of Activision Classic Games for the Atari 2600,1998,Misc,Activision,0.76,0.52,0,0.09,1.37
Dance Dance Revolution (Japan),1999,Simulation,Konami Digital Entertainment,0,0,1.26,0.09,1.35
Madden NFL 98,1997,Sports,Electronic Arts,1.29,0.03,0,0.03,1.35
SaGa Frontier,1997,Role-Playing,SquareSoft,0.15,0.04,1.07,0.09,1.35
Triple Play 2001,2000,Sports,Electronic Arts,0.74,0.5,0,0.09,1.33
TOCA 2: Touring Cars,1998,Racing,Codemasters,0.03,1.16,0.02,0.11,1.32
Fighting Force,1997,Fighting,Eidos Interactive,0.73,0.5,0,0.09,1.32
Madden NFL 97,1996,Sports,Electronic Arts,0.73,0.5,0,0.09,1.32
TNN Motor Sports Hardcore 4x4,1996,Racing,ASC Games,0.73,0.5,0,0.09,1.31
Rugrats Studio Tour,1999,Adventure,THQ,0.57,0.67,0,0.07,1.31
Test Drive 5,1997,Racing,Accolade,1.05,0.2,0,0.05,1.3
Digimon World,1999,Role-Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3
Army Men 3D,1999,Action,3DO,1.1,0.14,0,0.04,1.28
Twisted Metal 4,1999,Racing,989 Studios,1.07,0.16,0,0.04,1.28
Castlevania: Symphony of the Night,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27
Road Rash,1995,Racing,Electronic Arts,0.71,0.48,0,0.08,1.27
Battle Arena Toshinden,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27
Devil Dice,1998,Puzzle,THQ,0.05,0.03,1.1,0.08,1.26
Brian Lara Cricket,1998,Sports,Codemasters,0.02,1.13,0.01,0.1,1.26
Wheel of Fortune,1998,Misc,Hasbro Interactive,0.99,0.22,0,0.04,1.26
NBA Live 2001,2000,Sports,Electronic Arts,0.7,0.47,0,0.08,1.25
Reel Fishing,1996,Sports,Natsume,0.99,0.13,0.1,0.04,1.25
Road Rash 3D,1998,Racing,Electronic Arts,1.05,0.16,0,0.04,1.25
Oddworld: Abe's Oddysee,1997,Platform,GT Interactive,0.75,0.44,0,0.06,1.24
Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,2003,Misc,Sony Computer Entertainment,0.69,0.47,0,0.08,1.23
Vigilante 8,1998,Racing,Activision,0.68,0.47,0,0.08,1.23
Intelligent Qube,1997,Puzzle,Sony Computer Entertainment,0.13,0.07,1,0.02,1.22
NBA Live 99,1997,Sports,Electronic Arts,1.13,0.05,0,0.03,1.22
Chocobo no Fushigi Dungeon,1997,Role-Playing,SquareSoft,0,0,1.14,0.08,1.22
SimCity 2000,1996,Simulation,Maxis,0.68,0.46,0,0.08,1.22
WCW Mayhem,1998,Fighting,Electronic Arts,0.68,0.46,0,0.08,1.22
Dragon Quest IV: Michibikareshi Monotachi,2001,Role-Playing,Enix Corporation,0,0,1.2,0.01,1.21
Star Wars Episode 1: Jedi Power Battles,1999,Action,LucasArts,0.66,0.48,0.01,0.06,1.21
Dino Crisis 2,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21
Test Drive 4,1997,Racing,Electronic Arts,0.67,0.46,0,0.08,1.21
Nuclear Strike,1997,Simulation,Electronic Arts,0.66,0.45,0,0.08,1.19
The Dukes of Hazzard: Racing for Home,1999,Racing,Ubisoft,0.99,0.16,0,0.04,1.19
Metal Gear Solid VR Missions,1999,Adventure,Konami Digital Entertainment,0.66,0.45,0,0.08,1.18
Soviet Strike,1996,Simulation,Electronic Arts,0.65,0.44,0,0.08,1.17
Cool Boarders 4,1998,Sports,989 Studios,0.65,0.44,0,0.08,1.17
Rage Racer,1996,Racing,Sony Computer Entertainment,0.16,0.11,0.83,0.08,1.17
Destruction Derby 2,1996,Racing,Psygnosis,0.65,0.44,0,0.08,1.17
Bushido Blade,1997,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16
Test Drive: Off Road,1997,Racing,Eidos Interactive,0.65,0.44,0,0.08,1.16
Asteroids,1998,Shooter,Success,0.64,0.43,0,0.07,1.15
Puyo Puyo Sun Ketteiban,1997,Puzzle,Compile,0,0,1.07,0.07,1.15
Action Bass,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07,1.14
Brave Fencer Musashi,1998,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14
Derby Stallion 99,1999,Sports,ASCII Entertainment,0,0,1.06,0.07,1.13
Jampack Winter '98,1998,Misc,Sony Computer Entertainment,0.63,0.43,0,0.07,1.13
Arc the Lad,1995,Role-Playing,Sony Computer Entertainment,0,0,1.1,0.01,1.11
Legend of Mana,1999,Role-Playing,SquareSoft,0.18,0.13,0.73,0.07,1.11
Triple Play 98,1997,Sports,Electronic Arts,0.61,0.42,0,0.07,1.1
Star Ocean: The Second Story,1998,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1
BeatMania,1998,Simulation,Konami Digital Entertainment,0,0,1.07,0.02,1.09
Densha De Go!,1997,Simulation,Taito,0,0,1.02,0.07,1.09
NFL Blitz 2000,1998,Sports,Midway Games,0.6,0.41,0,0.07,1.09
Ready 2 Rumble Boxing,1998,Sports,Midway Games,0.6,0.41,0,0.07,1.08
Doko Demo Issyo,1999,Misc,Sony Computer Entertainment,0,0,1,0.07,1.07
NHL 99,1997,Sports,Electronic Arts,0.59,0.4,0,0.07,1.07
Ridge Racer Revolution,1995,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07
Hot Wheels Turbo Racing,1999,Racing,Electronic Arts,0.59,0.4,0,0.07,1.07
NCAA Football 99,1998,Sports,Electronic Arts,0.59,0.4,0,0.07,1.06
Simple 1500 Series Vol. 1: The Mahjong,1998,Misc,D3Publisher,0,0,0.99,0.07,1.06
Worms Armageddon,1999,Strategy,Microprose,0.18,0.81,0,0.08,1.06
Arc the Lad II,1996,Role-Playing,Sony Computer Entertainment,0,0,0.92,0.13,1.05
Dave Mirra Freestyle BMX,2000,Sports,Acclaim Entertainment,0.91,0.11,0,0.03,1.05
Monster Rancher 2,1998,Simulation,Sony Computer Entertainment,0.19,0.13,0.66,0.07,1.05
Legacy of Kain: Soul Reaver,N/A,Action,Eidos Interactive,0.58,0.4,0,0.07,1.04
Tales of Destiny,1997,Role-Playing,Namco Bandai Games,0.09,0.06,0.83,0.07,1.04
ATV: Quad Power Racing,2000,Racing,Acclaim Entertainment,0.58,0.39,0,0.07,1.04
Mega Man X4,1996,Action,Virgin Interactive,0.45,0.3,0.22,0.07,1.04
Jeremy McGrath Supercross 98,1998,Racing,Acclaim Entertainment,0.91,0.1,0,0.03,1.04
Street Fighter Alpha 3,1998,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03
The Lost World: Jurassic Park,1997,Action,Electronic Arts,0.57,0.39,0,0.07,1.02
Pong: The Next Level,1998,Puzzle,Hasbro Interactive,0.56,0.38,0,0.07,1.01
Monster Rancher,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01
Breath of Fire III,1997,Role-Playing,Capcom,0.29,0.19,0.46,0.07,1
Road & Track Presents: The Need for Speed,1995,Racing,Electronic Arts,0.56,0.38,0,0.07,1
NFL GameDay 2001,2000,Sports,Sony Computer Entertainment,0.56,0.38,0,0.07,1
NBA Live 97,1996,Sports,Electronic Arts,0.55,0.38,0,0.07,1
Jampack Winter 2000,2000,Misc,Sony Computer Entertainment,0.55,0.38,0,0.07,1
Oddworld: Abe's Exoddus,1998,Platform,GT Interactive,0.55,0.38,0,0.06,0.99
Medal of Honor: Underground,2000,Shooter,Electronic Arts,0.54,0.37,0,0.06,0.97
Jampack Summer '99,1999,Misc,Sony Computer Entertainment,0.54,0.36,0,0.06,0.96
Dance Dance Revolution 2nd ReMIX,1999,Simulation,Konami Digital Entertainment,0,0,0.9,0.06,0.96
Wild ARMs,1996,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95
NCAA Football 2000,1999,Sports,Electronic Arts,0.53,0.36,0,0.06,0.95
Midway Presents Arcade's Greatest Hits: The Atari Collection 1,1996,Misc,GT Interactive,0.52,0.36,0,0.06,0.94
SaGa Frontier 2,1999,Role-Playing,SquareSoft,0.1,0.07,0.71,0.06,0.94
MLB 2000,1999,Sports,Sony Computer Entertainment,0.52,0.35,0,0.06,0.94
SnoCross Championship Racing,1999,Racing,Ubisoft,0.52,0.35,0,0.06,0.93
007: The World is not Enough,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92
NHL 98,1997,Sports,Electronic Arts,0.51,0.35,0,0.06,0.92
Space Jam,1996,Sports,Acclaim Entertainment,0.51,0.35,0,0.06,0.92
Tobal No.1,1996,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92
Colin McRae Rally 2.0,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91
Destruction Derby,1995,Racing,Psygnosis,0.5,0.34,0,0.06,0.9
3Xtreme,1999,Action,989 Studios,0.5,0.34,0,0.06,0.9
Ace Combat 2,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89
MLB 2001,2000,Sports,Sony Computer Entertainment,0.49,0.34,0,0.06,0.89
Mega Man 8 Anniversary Collector's Edition,1996,Platform,Capcom,0.44,0.3,0.09,0.06,0.88
Star Wars: Rebel Assault II - The Hidden Empire,1996,Shooter,CTO SpA,0.49,0.33,0,0.06,0.88
Spec Ops: Ranger Elite,2001,Shooter,TalonSoft,0.49,0.33,0,0.06,0.87
Gex,1995,Platform,Crystal Dynamics,0.49,0.33,0,0.06,0.87
Need for Speed: V-Rally,1997,Racing,Infogrames,0.43,0.29,0.09,0.06,0.87
NFL GameDay '97,1996,Sports,Sony Computer Entertainment,0.48,0.33,0,0.06,0.87
NHL 2000,1998,Sports,Electronic Arts,0.48,0.33,0,0.06,0.87
Vagrant Story,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87
Ford Racing,2001,Racing,Empire Interactive,0.48,0.33,0,0.06,0.86
MLB 99,1998,Sports,Sony Computer Entertainment,0.48,0.32,0,0.06,0.86
Army Men: Air Attack,1999,Action,3DO,0.47,0.32,0,0.06,0.85
Street Fighter Alpha 2,1996,Fighting,Virgin Interactive,0.14,0.09,0.57,0.06,0.85
Rampage World Tour,1997,Action,GT Interactive,0.47,0.32,0,0.06,0.85
NFL GameDay,1995,Sports,Sony Computer Entertainment,0.47,0.32,0,0.06,0.85
Rocket Power: Team Rocket Rescue,2001,Sports,THQ,0.47,0.32,0,0.05,0.84
Q*bert,1999,Puzzle,Atari,0.46,0.32,0,0.05,0.84
Ace Combat 3: Electrosphere,1999,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83
The Game of Life,1998,Misc,Unknown,0.46,0.31,0,0.05,0.83
Mega Man Legends,1997,Adventure,Capcom,0.39,0.26,0.12,0.05,0.83
MediEvil,1998,Platform,Sony Computer Entertainment,0.46,0.31,0,0.05,0.83
Casper,1996,Adventure,Interplay,0.46,0.31,0,0.05,0.83
Tales of Destiny II,2000,Role-Playing,Namco Bandai Games,0.06,0.04,0.66,0.05,0.81
NASCAR 2001,2000,Racing,Electronic Arts,0.45,0.31,0,0.05,0.81
Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,1999,Sports,Konami Digital Entertainment,0,0,0.76,0.05,0.81
Valkyrie Profile,1999,Role-Playing,Enix Corporation,0.07,0.05,0.63,0.05,0.81
The Next Tetris,1998,Puzzle,Atari,0.45,0.31,0,0.05,0.81
World Soccer Jikkyou Winning Eleven 3: World Cup France '98,1998,Sports,Konami Digital Entertainment,0,0,0.75,0.05,0.81
Who wants to be a millionaire,2000,Misc,Eidos Interactive,0.45,0.3,0,0.05,0.8
Moto Racer,1997,Racing,Electronic Arts,0.45,0.3,0,0.05,0.8
Final Fantasy Anthology,1999,Role-Playing,Square EA,0.45,0.3,0,0.05,0.8
Super Robot Taisen α,2000,Strategy,Banpresto,0,0,0.75,0.05,0.8
Ridge Racer,1994,Racing,Sony Computer Entertainment,0,0,0.74,0.05,0.79
Momotarou Dentetsu 7,1997,Simulation,Hudson Entertainment,0,0,0.74,0.05,0.79
Motocross Mania,2001,Racing,Take-Two Interactive,0.44,0.3,0,0.05,0.79
Doom,1994,Shooter,Infogrames,0.43,0.3,0,0.05,0.78
Marvel vs. Capcom: Clash of Super Heroes,1999,Fighting,Capcom,0.43,0.3,0,0.05,0.78
Battle Stations,1997,Strategy,Electronic Arts,0.43,0.29,0,0.05,0.78
NBA ShootOut 98,1998,Sports,Sony Computer Entertainment,0.43,0.29,0,0.05,0.78
Andretti Racing,1996,Racing,Electronic Arts,0.43,0.29,0,0.05,0.77
Caesars Palace 2000: Millennium Gold Edition,2000,Misc,Interplay,0.43,0.29,0,0.05,0.77
Need for Speed: Porsche Unleashed,1999,Racing,Electronic Arts,0.43,0.29,0,0.05,0.77
Formula 1,1996,Racing,Psygnosis,0.18,0.12,0.42,0.05,0.76
Street Fighter Alpha: Warriors' Dreams,1995,Fighting,Virgin Interactive,0.17,0.11,0.43,0.05,0.76
ISS Pro Evolution,1998,Sports,Konami Digital Entertainment,0,0,0.71,0.05,0.76
Mega Man X5,2000,Platform,Capcom,0.3,0.21,0.2,0.05,0.75
Street Fighter EX Plus Alpha,1997,Fighting,Virgin Interactive,0.28,0.19,0.23,0.05,0.75
Jet Moto 3,1999,Racing,Sony Computer Entertainment,0.41,0.28,0,0.05,0.74
FIFA: Road to World Cup 98,1997,Sports,Electronic Arts,0.14,0.09,0.46,0.05,0.73
Croc 2,1999,Platform,Fox Interactive,0.41,0.28,0,0.05,0.73
SD Gundam G Generation,1998,Strategy,Namco Bandai Games,0,0,0.67,0.05,0.72
Area 51,1996,Shooter,GT Interactive,0.4,0.27,0,0.05,0.72
Test Drive 6,1999,Racing,Atari,0.4,0.27,0,0.05,0.72
X-Men: Mutant Academy 2,2001,Fighting,Activision,0.4,0.27,0,0.05,0.72
Fear Effect,1998,Action,Eidos Interactive,0.4,0.27,0,0.05,0.72
Resident Evil: Survivor,2000,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71
Jeremy McGrath Supercross 2000,2000,Racing,Acclaim Entertainment,0.4,0.27,0,0.05,0.71
Battle Arena Toshinden 2,1995,Fighting,Sony Computer Entertainment,0.15,0.1,0.41,0.05,0.71
Jeopardy!,1997,Misc,Hasbro Interactive,0.39,0.27,0,0.05,0.71
South Park,1998,Shooter,Acclaim Entertainment,0.39,0.27,0,0.05,0.71
Command & Conquer: Red Alert Retaliation,1998,Strategy,Virgin Interactive,0.39,0.27,0,0.05,0.7
NCAA Football 98,1997,Sports,Electronic Arts,0.39,0.27,0,0.05,0.7
Chocobo's Dungeon 2,1998,Role-Playing,SquareSoft,0.04,0.03,0.58,0.05,0.7
NCAA Football 2001,2000,Sports,Electronic Arts,0.39,0.26,0,0.05,0.7
Moto Racer 2,1997,Racing,Electronic Arts,0.39,0.26,0,0.05,0.69
NFL Xtreme,1998,Sports,Sony Computer Entertainment,0.38,0.26,0,0.05,0.69
Star Wars: Masters of Teras Kasi,1997,Action,LucasArts,0.38,0.26,0,0.04,0.68
Mortal Kombat Mythologies: Sub-Zero,1997,Fighting,GT Interactive,0.38,0.26,0,0.04,0.68
Bushido Blade 2,1998,Fighting,SquareSoft,0.25,0.17,0.22,0.04,0.68
